Transcript ID	Gene name	Poly(A) tags	Mean TL	Median TL	10th %ile, TL	25th %ile, TL	75th %ile, TL	90th %ile, TL	mRNA RPKM	RPF RPKM	log2(TE)
ENSDART00000087782	mrps9	168	21.6	18.3	5.1	10.4	29.1	42.8	34.87	33.38	-0.0630024094141
ENSDART00000148652	slc26a2	26	21.8	15.6	5.7	11.1	33.7	42.3	NA	NA	NA
ENSDART00000087786	slka	114	91.1	92.0	29.3	53.1	126.4	147.4	40.27	105.11	1.38412255417
ENSDART00000019459	fam91a1	99	19.5	17.1	5.2	11.8	23.7	32.5	NA	NA	NA
ENSDART00000130832	trmt61a	1	54.0	54.0	NA	NA	NA	NA	50.04	127.48	1.34911722961
ENSDART00000130833	CABZ01024770.1	105	21.5	17.1	5.5	9.7	30.1	42.6	NA	NA	NA
ENSDART00000130830	otomp	2	16.8	16.8	NA	NA	NA	NA	NA	NA	NA
ENSDART00000047358	fkbp6	351	18.6	14.9	5.0	8.8	24.3	37.7	NA	NA	NA
ENSDART00000017140	arhgef11	151	26.1	18.1	4.5	7.6	34.3	62.6	12.53	2.21	-2.50326813993
ENSDART00000017144	bag1	172	24.5	19.2	8.0	13.6	32.9	45.1	NA	NA	NA
ENSDART00000043117	fbxw4	36	22.8	18.8	4.4	9.8	33.4	45.0	NA	NA	NA
ENSDART00000017148	gclc	117	91.0	93.4	18.8	54.1	126.1	152.4	16.79	170.16	3.34121780302
ENSDART00000081054	tada3l	72	24.6	19.4	6.2	11.8	33.3	53.0	18.16	6.35	-1.51593570563
ENSDART00000128736	lmbrd2a	43	66.1	65.0	18.4	35.5	86.5	118.7	NA	NA	NA
ENSDART00000128737	fkbp7	4	55.1	50.6	NA	NA	NA	NA	NA	NA	NA
ENSDART00000128731	rnps1	769	63.1	57.5	18.1	37.6	89.2	115.2	81.15	742.76	3.19423312374
ENSDART00000123359	BX005472.1	15	52.6	42.9	6.8	20.8	81.5	104.4	NA	NA	NA
ENSDART00000123354	msl2b	161	24.0	20.7	5.8	13.1	31.0	51.0	15.67	6.11	-1.35876089465
ENSDART00000021231	slmapb	277	47.0	38.5	12.7	20.0	65.2	94.9	NA	NA	NA
